SlotId	LottoType	PackageId	Weight	Stage	Valid
1	1	141010000	20	0	TRUE
1	1	141020000	20	0	TRUE
1	1	141050000	20	0	TRUE
1	1	144020000	20	0	TRUE
1	1	142070000	20	0	TRUE
2	1	144030000	15	0	TRUE
2	1	141040000	20	0	TRUE
2	1	141060000	20	0	TRUE
2	1	142010000	25	0	TRUE
2	1	141030000	20	0	TRUE
3	1	145010000	30	0	TRUE
3	1	142020000	30	0	TRUE
3	1	144010000	20	0	TRUE
3	1	141070000	10	0	TRUE
3	1	141080000	10	0	TRUE
4	1	145020000	25	0	TRUE
4	1	141090000	15	0	TRUE
4	1	142050000	25	0	TRUE
4	1	145030000	20	0	TRUE
4	1	142030000	15	0	TRUE
5	1	142060000	35	0	TRUE
5	1	143020000	35	0	TRUE
5	1	145040000	20	0	TRUE
5	1	147040001	5	0	TRUE
5	1	147040002	5	0	TRUE
7	1	145050000	40	0	TRUE
7	1	142040000	45	0	TRUE
7	1	146010000	15	0	TRUE
8	1	143040000	40	0	TRUE
8	1	146020000	30	0	TRUE
8	1	146030000	30	0	TRUE
6	1	147010004	1	0	TRUE
6	1	147010005	1	0	TRUE
6	1	147010006	1	0	TRUE
6	1	147020005	1	0	TRUE
6	1	147020006	1	0	TRUE
6	1	147020007	1	0	TRUE
6	1	147020008	1	0	TRUE
6	1	147030005	1	0	TRUE
6	1	147030006	1	0	TRUE
6	1	147030007	1	0	TRUE
6	1	147030008	1	0	TRUE
6	1	142080000	1	0	TRUE
